Word,Count
*,44958
the,15636
,9643
to,9226
a,7041
of,6837
@param,6583
is,6151
The,5882
if,3789
for,3575
@returns,3260
and,3257
=,2908
in,2892
node,2797
-,2447
that,2383
an,2169
or,2166
function,2123
object,2041
//,2029
{,2012
value,1981
with,1810
be,1717
not,1716
=>,1615
Returns,1600
as,1491
{Object},1458
array,1440
are,1361
------------------------------------------------------------------------------,1337
week,1330
first,1324
it,1298
this,1275
},1254
from,1149
@private,1119
return,1118
on,1038
var,1006
by,991
A,990
{boolean},980
{string},956
check,955
{Function},945
string,907
If,895
given,894
new,820
This,817
we,813
{ASTNode},784
which,761
{Array},760
@memberOf,759
token,751
method,741
values,740
_,708
@example,707
property,703
all,700
@category,686
@since,683
:,672
@static,669
name,661
@,659
else,658
use,647
locale,645
configuration,639
will,639
only,629
element,617
have,590
can,588
elements,578
{*},576
true,569
false,569
{number},564
contains,556
type,553
when,546
Rule,543
Checks,542
@author,539
set,531
used,526
has,514
day,509
{void},504
year,501
@fileoverview,499
invoked,493
path,491
moment.js,488
properties,485
should,483
`true`,483
whether,472
iteratee,470
at,461
code,454
number,450
error,448
case,448
no,444
objects,436
Jan,431
source,427
arguments,425
one,421
+,421
event,415
key,411
line,408
Creates,401
so,400
list,400
other,398
{String},394
like,393
sequence,392
/,391
current,390
Used,389
file,384
1,383
`value`,383
returns,378
its,376
options,373
@return,373
An,370
Definition,369
then,367
default,362
Monday,352
but,351
each,351
expression,350
it's,348
without,347
same,346
|,346
base,344
any,343
start,342
variable,341
OR,341
methods,334
index,334
===,333
get,333
ignore,331
MMMM,330
next,327
\},\,325
Support:,323
OF,317
--------------------------------------------------------------------------,312
into,307
data,306
using,303
there,302
\2,\,302
2,301
callback,300
end,298
after,297
`false`,297
over,296
support,294
match,291
implementation,287
last,285
Check,283
scope,282
&&,281
AST,280
});,272
state,266
per,265
tokens,264
\,\,264
stream,263
was,262
references,262
result,259
empty,258
`object`,258
rule,257
Get,257
reference,256
argument,256
`array`,254
\1,\,249
must,245
nodes,245
specified,244
more,243
collection,242
comment,242
context,241
istanbul,240
True,240
`func`,239
before,238
option,237
add,237
config,236
0,234
functions,231
4th,228
test,227
characters,227
call,227
THE,226
order,226
->,226
message,225
IE,224
9,223
character,222
class,221
'a':,218
};,218
global,218
observable,216
provided,213
Add,211
names,211
disallow,210
0.1.0,208
YYYY,206
do,205
Gets,204
comments,204
up,204
1st,203
OpenTok,202
iteration,201
operator,201
Array,201
doesn't,200
following,199
Use,198
null,198
request,197
4.0.0,197
{Boolean},196
except,196
single,195
text,194
version,192
already,192
flag,190
parser,189
than,189
Object,189
inspect,187
iterate,187
instance,187
Create,186
For,186
don't,185
statement,184
arrays,182
parent,181
does,180
because,179
shorthand,179
identifier,179
Parse,177
need,176
'user':,174
passed,174
block,174
also,173
valid,173
See,173
Requirements,173
just,173
'b':,172
position,171
Return,171
range,171
**Note:**,171
stack,170
\this.finishNode(node,\,170
being,169
them,169
3,168
types,167
may,166
they,165
instead,165
We,164
schema,164
two,163
otherwise,162
cache,161
IN,161
report,160
ANY,160
based,160
Public,160
pattern,160
called,159
variables,159
@public,159
events,156
segment,156
left,155
strings,155
query,155
||,154
keyword,154
between,154
session,153
convert,152
right,152
make,152
',152
been,151
directory,151
module,151
we're,151
When,150
compare,150
loop,150
eslint-disable-line,150
tag,149
author,148
undefined,147
selector,147
action,146
Helpers,146
func,146
remove,145
location,145
Set,144
their,144
AND,143
'x':,142
above,141
where,140
parameter,140
TODO:,140
Reports,139
always,139
time,138
Enforce,137
role,137
component,136
>,136
allowed,136
Lang,136
\[1,\,134
possible,134
{\n,134
you,134
'active':,133
here,132
literal,131
Determine,131
map,131
files,130
through,130
errors,129
input,129
Whether,129
own,129
predicate,129
out,128
binary,128
D,128
[,128
implicit,128
create,127
template,127
second,127
native,126
{object},126
space,126
clone,126
Module,126
invalid,125
see,125
keys,124
returned,124
body,124
needed,124
-----------------------------------------------------------------------------,124
previous,124
inside,124
length,123
user,123
annotation,123
@api,123
part,122
trailing,121
[{,121
@property,120
created,120
parse,119
results,119
{Promise},118
optional,118
----------------------------------------------------------------------------,118
Copyright(c),117
jQuery,117
those,116
count,116
fix,116
attribute,116
correct,116
paths,116
item,115
conditions,115
checked,115
Remove,115
found,114
\object,\,114
JSX,114
avoid,114
eslint-disable,113
response,113
since,113
point,113
dddd,113
'age':,111
sure,111
Determines,111
accepts,110
==,110
regular,110
multiple,110
It,109
#,109
prop,109
segments,108
Only,108
id,108
every,108
custom,108
props,108
invoke,108
some,108
DOM,107
rules,107
declaration,107
either,106
wrapper,106
Handle,105
indent,105
cursor,104
function(),104
constructor,104
\value,\,104
@see,104
{Token},104
publisher,103
against,103
allow,103
pass,103
require,103
exports,102
{},102
parameters,102
eslint,102
Converts,102
4,102
FOR,101
String,101
skip,101
Make,101
parsing,101
local,101
search,101
header,101
assignment,101
{Array|Object},100
applied,100
<,100
\YYYY"\,LLL:"\D\,99
Don't,99
Identifier,99
statements,99
document,99
private,98
form,98
val,98
special,98
),97
around,97
defined,97
would,97
integer,96
e.g,96
ago,96
details,96
both,95
handle,94
parsed,94
matched,94
usage,93
containing,93
>=,93
offset,93
word,93
NOT,93
window,92
copy,92
handler,92
modify,92
while,91
comparisons,91
3.0.0,91
MIT,90
content,90
exists,89
subscriber,89
matches,89
escape,89
`this`,89
pairs,89
expressions,89
`lodash`,89
`string`,88
@name,88
canvas,88
enumerable,88
<resolve:,88
format,87
destination,87
throw,87
find,87
wrapped,86
binding,86
eslint-disable-next-line,86
entry,86
sequences,86
converted,85
style,85
until,85
matching,85
sort,85
In,85
Node,84
API,84
symbols,84
callbacks,84
information,84
URL,84
export,84
numbers,84
exist,83
such,83
update,83
`collection`,83
whitespace,83
mode,82
once,82
size,82
SOFTWARE,82
this.next();,82
boolean,82
{Observable},82
Cohen,82
reject:,81
Convert,81
determine,81
Ethan,81
wrap,81
HTML,81
..,81
`undefined`,81
6,80
closing,80
deep,80
\LIABILITY,\,79
copyright,79
LIMITED,79
run,79
BUT,79
'c':,79
spacing,79
Function,78
n,78
declarations,78
calls,78
Copyright,78
exception,78
cases,78
\Otherwise,\,78
hash,78
returning,78
Prevent,77
relative,77
our,77
side,77
lines,77
(this.tok.type,76
&,76
Error>,76
target,76
done,76
corresponding,76
throws,76
arguments:,76
removed,76
\'barney',\,75
leading,75
:=,75
resolve,75
root,75
month,75
****,75
Util,74
strict,74
maximum,74
enable,74
slice,74
know,74
store,74
change,74
were,74
color,74
@member,74
this.tok.type,74
flags,73
invokes,73
these,73
internal,73
this.next(),72
break,72
metadata,72
browser,72
specific,72
\[,\,72
[iteratee=_.identity],71
!==,71
All,71
Node.js,71
attributes,71
expr,71
`key`,71
starts,71
thisArg,71
Sunday,71
simple,70
way,70
headers,70
Collection,70
`_.property`,70
import,70
{Number},70
declared,70
\[2,\,70
original,70
\3,\,70
Safari,69
want,69
RegExp,69
back,69
Built-in,69
resolved,69
Parses,68
continue,68
'y':,68
column,68
(or,68
most,68
prefix,68
`iteratee`,68
defaults,68
Licensed,68
compiled,68
process,68
###,68
output,68
bitmask,68
}],68
sorted,68
keywords,67
and/or,67
\function,\,67
iterates,67
read,67
top,67
5,67
cloned,67
arrow,67
(,66
seconds,66
try,66
this;,66
months,66
uses,66
required,65
existing,65
added,65
literals,65
init,65
explicitly,65
this$1,64
shorthands,64
different,64
additional,64
3]);,64
\'fred',\,64
bound,64
@type,64
Specify,64
about,64
date,64
considered,63
<=,63
[],63
users,63
evaluate,63
equal,63
THIS,63
rest,63
Android,63
initial,63
\notice,\,62
can't,62
disclaimer,62
followed,62
script,62
IMPLIED,62
Redistributions,62
plain,62
\LT"\,nextWeek:"\dddd\,62
\['a',\,62
];,62
ID,62
\TO,\,62
dependencies,62
fallback,62
three,62
eslint-enable,62
recursively,62
placeholder,62
upper,62
nothing,61
syntax,61
width,61
```,61
handlers,61
points,61
contain,61
could,61
keep,61
!=,61
specialized,61
checks,61
means,61
present,61
under,60
missing,60
unique,60
old,60
comma,60
generator,60
async,60
prompt,59
unless,59
customize,59
`path`,59
C,59
work,59
Find,59
[string=''],59
another,59
Douglas,58
namespace,58
Christopher,58
isn't,58
zero,58
free,58
beginning,58
symbol,58
indexes,58
Wilson,58
Removes,57
within,57
listeners,57
expected,57
chain,57
{string[]},57
\'b',\,57
url,57
res,57
Error,57
creates,57
there's,57
Interface,57
To,57
escaped,57
level,57
external,56
write,56
status,56
inherited,56
something,56
behavior,56
early,56
comparator,56
spaces,56
environment,56
obj,56
available,55
\LT"\;case\,55
words,55
8,55
even,55
later,55
connection,55
2);,55
command,55
compose,55
duplicate,55
what,55
now,55
\values,\,55
how,55
section,55
promise,55
ensure,54
Sets,54
publishing,54
detect,54
let,54
safe,54
subject,54
ready,54
invocation,54
replace,54
\node,\,54
extension,54
Default,54
Unicode,54
group,53
These,53
interface,53
video,53
newline,53
itself,53
package,53
Do,53
enforce,53
\false,\,53
equivalent,53
public,53
\true,\,53
Skip,53
starting,53
needs,53
pair,53
computed,53
Update,53
cannot,53
switch,53
tests,53
regex,53
`customizer`,52
still,52
identifiers,52
explicit,52
adding,52
useful,52
`source`,52
well,52
observers,52
assigned,52
semicolon,52
documentation,52
running,52
Firefox,52
standard,52
modules,52
ignored,52
(value),51
screen,51
args,51
Ensure,51
extra,51
outside,51
hour,51
might,51
timeout,51
include,51
member,51
Software,51
Start,51
bug,51
Nagashima,50
\key,\,50
false;,50
partially,50
ESLint,50
node.body,50
comparison,50
\array,\,50
3],50
executed,50
buffer,50
disable,50
Toru,50
{int},50
No,50
assign,50
Detect,50
`null`,50
'.',49
\empty,\,49
mutates,49
days,49
fn,49
produce,49
including,49
allows,49
foo(),49
container,49
modified,49
display,49
setting,49
WARRANTIES,49
necessary,49
\5,\,49
PROVIDED,48
EXPRESS,48
HOLDERS,48
filename,48
LIABLE,48
DAMAGES,48
this.startNode();,48
disabled,48
full,48
IS,48
FITNESS,48
PURPOSE,48
BE,48
NO,48
\CONTRACT,\,48
TORT,48
selected,48
WHETHER,48
condition,48
@method,48
credentials,48
SHALL,48
PARTICULAR,48
OUT,48
EVENT,48
simply,48
Nicholas,48
COPYRIGHT,48
groups,48
ARISING,48
`start`,48
USE,48
times,48
bytes,47
patterns,47
{Array|string},47
merge,47
Zakas,47
currently,47
instanceof,47
str,47
generate,47
off,47
representing,47
Enable,47
}\n,47
plugin,47
Map,46
typeof,46
eslint-env,46
settings,46
`predicate`,46
this.startNode(),46
prototype,46
built-in,46
messages,46
padding,46
streams,46
spec,46
x,46
environments,46
keyed,46
apply,46
everything,46
items,45
Enables,45
label,45
JavaScript,45
exceptions,45
nested,45
chars,45
Internal,45
access,45
void,45
FORMATTING,45
Acorn,45
\0,\,45
n(e){return,45
jshint,45
execute,45
included,45
Initialize,45
actions,45
upon,45
b,45
program,45
table,45
Expose,45
Examples:,45
{Mixed},45
MOMENTS,45
lower,44
`_.map`,44
supports,44
true;,44
V8,44
prevent,44
\given,\,44
Otherwise,44
take,44
\"\AS\,44
toolbar,44
too,44
creating,44
analytics,44
inline,44
key-value,44
thrown,44
years,44
ES6,43
certain,43
function(o),43
load,43
h:mm,43
Try,43
child,43
surrogate,43
sorting,43
directly,43
absolute,43
\(value,\,43
precedence,43
slash,43
makes,43
build,43
representation,43
common,43
deprecated,43
<=9,43
char,43
actually,43
{function},42
[guard],42
i,42
associated,42
\start,\,42
adds,42
track,42
reports,42
direct,42
anything,42
`end`,42
1;,42
look,42
@constructor,42
F,42
@param-,42
kind,42
handled,42
PARSING,42
regexp,42
@this,41
few,41
logs,41
Note:,41
insert,41
[predicate=_.identity],41
arity,41
milliseconds,41
`_.matches`,41
various,41
inserted,41
includes,41
RFC,41
JS,41
\exists,\,41
ends,41
--,41
\element,\,41
octal,41
inner,40
(if,40
Call,40
Note,40
static,40
bitmasks,40
mark,40
many,40
1],40
equality,40
[de],40
operators,40
\case,\,40
handling,40
immediately,40
define,40
(this.options.ecmaVersion,40
classified,40
operation,40
progress,40
\example,\,40
filtered,40
bracket,40
\objects,\,39
generated,39
2015,39
unreachable,39
correctly,39
directive,39
JSON,39
hours,39
exit,39
11,39
3);,39
traversed,39
opening,39
T,39
Tests,39
Mark,39
argument:,39
truthy,39
supported,39
Define,39
],39
\strict"\;function\,39
/>,39
disposable,39
\null,\,39
transform,38
replacement,38
\3],\,38
vars,38
2014,38
true),38
\string,\,38
\set,\,38
changed,38
import/no-unresolved,38
invoking,38
}),38
unwrapped,38
partial,38
\found,\,38
never,38
`_.matchesProperty`,38
represents,38
works,38
determined,38
\2],\,38
no-unused-vars,38
fixed,38
parentheses,38
Adds,38
info,38
long,38
scopes,38
final,38
7,38
false]);,37
Ignore,37
instances,37
Read,37
via,37
\specified,\,37
append,37
due,37
(e.g,37
(C),37
6),37
actual,37
bind,37
}];,37
Save,37
React,37
severity,37
normal,37
2;,37
Foo(),37
lexical,37
plugins,37
{Error},37
{ASTNode[]},37
validation,37
max-len,37
params,37
calling,37
3;,37
\type,\,36
this$1.tok.type,36
chunk,36
`n`,36
ALIASES,36
takes,36
less,36
this.dummyIdent(),36
TypeExpression,36
browsers,36
[u],36
------------------------------------------------------------------------,36
changes,36
click,36
help,36
won't,36
dataType,36
Promise,36
null;,36
60,36
grammatical,36
\HH:mm"\,LLLL:"\dddd,\,36
braces,36
2],36
send,36
Reference,36
\only,\,36
AMD,36
Property,35
\u0627\u0644\u0633\u0627\u0639\u0629],35
<utatane.tea@gmail.com>,35
Suzuki,35
negative,35
notice,35
jest,35
this.a,35
\%s"\,past:"\%s\,35
Yusuke,35
[];,35
Private,35
```javascript,35
encoding,35
OTHER,35
Value,35
spread,35
}`,35
appropriate,35
copies,35
\[3,\,35
LT,35
(the,35
whose,34
`({,34
[customizer],34
guaranteed),34
By,34
imports,34
field,34
(),34
0;,34
})`,34
constants,34
i.e,34
CSS,34
##,34
specify,34
(iteration,34
iterator,34
indentation,34
unary,34
rather,34
`class,34
tree,34
WebKit,34
\enabled,\,34
Report,34
$,34
scripts,34
logic,34
stop,34
{CodePathSegment[]},34
\arguments,\,34
readable,34
down,34
(and,34
\4,\,33
validate,33
go,33
locations,33
listener,33
retain,33
chaining,33
sources,33
capture,33
falls,33
helper,33
indicating,33
sets,33
initialized,33
Chrome,33
Initializes,33
head,33
[options],33
wraps,33
performs,33
sw=4,33
digits,33
vim:,33
minutes,33
{CodePathSegment},33
mapped,33
cause,33
Edge,33
Any,33
\['active',\,33
'active');,33
moment,33
et,33
permitted,33
composed,33
ids,33
`0`,32
node's,32
{String,32
numeric,32
properly,32
{...*},32
passing,32
Math,32
definition,32
NaN,32
\provided,\,32
extracted,32
cloning,32
ts=4,32
\YYYY,\,32
'n':,32
BY,32
reserved,32
:nodoc:*,32
entries,32
components,32
Saturday,32
things,32
entire,32
main,32
\this.curIndent,\,32
reproduce,32
Constants,32
Load,32
execution,32
Validate,32
5);,32
Force,32
basic,32
control,32
node.argument,32
iteratees,32
Not,32
tw=80,32
didn't,32
'/',32
\SPECIAL,\,31
\(INCLUDING,\,31
CONTRIBUTORS,31
notation,31
rights,31
ARE,31
\DATA,\,31
PROFITS;,31
THEORY,31
split,31
\WARRANTIES,\,31
GOODS,31
\INDIRECT,\,31
materials,31
DISCLAIMED,31
unicode,31
PROCUREMENT,31
MERCHANTABILITY,31
limit,31
CAUSED,31
`arguments`,31
language,31
\DIRECT,\,31
distribution,31
\INCIDENTAL,\,31
array-like,31
minute,31
SUCH,31
ON,31
fixes,31
Redistribution,31
\forms,\,31
ADVISED,31
OTHERWISE),31
<COPYRIGHT,31
least,31
checking,31
\INCLUDING,\,31
scheduler,31
bar,31
\USE,\,31
(function,31
ObjectExpression,31
TODO,31
automatically,31
HOLDER>,31
